gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,Churn_numeric,InternetService_Fiber optic,Contract_One year,Contract_Two year,CustomerValue,TotalServices,Senior_Fiber_Risk,ContractRisk,Cluster,Persona
1,0,1,13,1,1,97,1,1,False,False,True,1261,2,0,0,1,At-Risk Newbies
0,0,0,35,1,0,99,0,0,False,False,False,3465,1,0,2,0,Loyal High-Rollers
1,0,1,12,0,1,36,0,0,True,True,False,432,1,0,1,1,At-Risk Newbies
1,0,0,31,1,0,91,0,0,False,True,False,2821,1,0,1,0,Loyal High-Rollers
0,0,1,53,1,0,108,0,0,False,False,False,5724,1,0,2,0,Loyal High-Rollers
1,0,0,1,1,0,20,0,0,False,False,False,20,1,0,2,1,At-Risk Newbies
1,0,0,30,1,1,20,0,0,False,True,False,600,2,0,1,2,Stable Budgeteers
0,0,0,46,1,0,75,0,0,True,False,False,3450,1,0,2,0,Loyal High-Rollers
0,0,0,19,1,0,90,1,1,False,False,False,1710,1,0,2,1,At-Risk Newbies
0,0,0,23,1,0,54,0,0,True,False,False,1242,1,0,2,1,At-Risk Newbies
0,1,0,15,1,0,55,1,1,True,False,False,825,1,1,2,1,At-Risk Newbies
1,0,0,48,1,0,20,0,0,False,False,True,960,1,0,0,2,Stable Budgeteers
1,0,1,25,1,1,96,1,1,True,False,False,2400,2,0,2,0,Loyal High-Rollers
1,0,0,52,1,0,105,1,1,False,True,False,5460,1,0,1,0,Loyal High-Rollers
1,0,0,12,1,0,82,1,1,False,False,True,984,1,0,0,1,At-Risk Newbies
0,0,0,48,1,0,25,0,0,False,False,True,1200,1,0,0,2,Stable Budgeteers
0,0,0,38,1,0,20,0,0,False,False,False,760,1,0,2,2,Stable Budgeteers
0,0,0,18,0,0,35,0,0,True,False,False,630,0,0,2,1,At-Risk Newbies
0,0,0,45,1,0,50,0,0,True,False,False,2250,1,0,2,2,Stable Budgeteers
1,0,0,12,1,1,90,0,0,False,False,True,1080,2,0,0,1,At-Risk Newbies
0,1,0,66,1,1,102,0,0,True,False,False,6732,2,1,2,0,Loyal High-Rollers
0,0,0,72,1,1,20,0,0,True,False,True,1440,2,0,0,2,Stable Budgeteers
0,0,0,70,0,1,45,0,0,True,False,False,3150,1,0,2,2,Stable Budgeteers
0,0,0,27,1,1,90,0,0,False,True,False,2430,2,0,1,0,Loyal High-Rollers
1,0,0,1,1,0,20,0,0,False,False,False,20,1,0,2,1,At-Risk Newbies
1,1,0,13,1,0,95,1,1,False,False,True,1235,1,0,0,1,At-Risk Newbies
0,0,1,65,1,0,90,0,0,True,False,False,5850,1,0,2,0,Loyal High-Rollers
0,0,1,14,1,0,70,0,0,False,False,False,980,1,0,2,1,At-Risk Newbies
0,0,1,17,1,0,85,1,1,False,False,False,1445,1,0,2,1,At-Risk Newbies
0,0,0,31,1,1,21,0,0,True,True,False,651,2,0,1,2,Stable Budgeteers
1,0,1,24,1,0,24,0,0,False,True,False,576,1,0,1,2,Stable Budgeteers
0,0,0,3,1,1,20,0,0,True,False,True,60,2,0,0,1,At-Risk Newbies
1,0,0,17,1,0,77,1,1,False,False,False,1309,1,0,2,1,At-Risk Newbies
1,0,0,66,1,1,69,0,0,True,True,False,4554,2,0,1,0,Loyal High-Rollers
1,0,0,45,1,0,53,0,0,False,True,False,2385,1,0,1,2,Stable Budgeteers
1,0,0,35,1,1,92,0,0,True,True,False,3220,2,0,1,0,Loyal High-Rollers
1,0,1,40,0,0,40,0,0,False,False,True,1600,0,0,0,2,Stable Budgeteers
0,0,0,10,1,1,85,1,1,True,False,False,850,2,0,2,1,At-Risk Newbies
0,0,0,52,1,0,64,0,0,False,True,False,3328,1,0,1,0,Loyal High-Rollers
0,0,0,13,1,0,19,0,0,True,False,False,247,1,0,2,2,Stable Budgeteers
0,1,0,43,1,1,90,0,0,True,False,False,3870,2,1,2,0,Loyal High-Rollers
0,0,0,41,1,0,20,0,0,False,False,True,820,1,0,0,2,Stable Budgeteers
0,1,0,52,0,0,50,0,0,True,False,False,2600,0,1,2,2,Stable Budgeteers
0,0,0,71,1,0,93,0,0,False,False,True,6603,1,0,0,0,Loyal High-Rollers
1,0,0,61,1,1,106,0,0,True,False,False,6466,2,0,2,0,Loyal High-Rollers
0,0,0,26,0,0,44,0,0,False,False,True,1144,0,0,0,1,At-Risk Newbies
1,0,1,72,1,1,68,0,0,True,False,False,4896,2,0,2,0,Loyal High-Rollers
0,0,0,42,1,1,78,0,0,True,True,False,3276,2,0,1,0,Loyal High-Rollers
0,0,1,57,1,0,65,0,0,False,False,False,3705,1,0,2,0,Loyal High-Rollers
1,0,1,9,1,1,20,0,0,True,False,False,180,2,0,2,1,At-Risk Newbies
0,0,0,9,1,0,71,1,1,False,False,False,639,1,0,2,1,At-Risk Newbies
1,0,0,33,1,0,45,0,0,False,False,False,1485,1,0,2,2,Stable Budgeteers
1,0,0,1,1,0,19,0,0,True,False,True,19,1,0,0,1,At-Risk Newbies
0,0,0,7,1,1,79,1,1,True,False,False,553,2,0,2,1,At-Risk Newbies
1,0,0,1,1,1,72,1,1,False,False,True,72,2,0,0,1,At-Risk Newbies
1,0,1,65,1,0,20,0,0,False,False,False,1300,1,0,2,2,Stable Budgeteers
1,0,0,10,1,0,86,1,1,False,True,False,860,1,0,1,1,At-Risk Newbies
1,0,0,70,1,1,95,0,0,True,False,False,6650,2,0,2,0,Loyal High-Rollers
0,0,0,29,1,0,99,1,1,False,False,False,2871,1,0,2,0,Loyal High-Rollers
1,0,1,21,1,0,104,1,1,False,False,True,2184,1,0,0,0,Loyal High-Rollers
1,0,0,1,1,0,91,1,1,False,False,False,91,1,0,2,1,At-Risk Newbies
1,0,0,5,1,0,20,0,0,False,False,False,100,1,0,2,1,At-Risk Newbies
1,0,0,56,1,1,90,0,0,False,False,True,5040,2,0,0,0,Loyal High-Rollers
1,0,1,35,1,0,85,1,1,True,False,False,2975,1,0,2,0,Loyal High-Rollers
1,0,1,10,1,0,20,0,0,False,False,True,200,1,0,0,1,At-Risk Newbies
0,0,0,31,0,0,50,0,0,False,False,True,1550,0,0,0,2,Stable Budgeteers
1,1,0,37,1,0,86,1,1,True,False,False,3182,1,1,2,0,Loyal High-Rollers
1,1,0,57,1,1,95,1,1,False,False,True,5415,2,0,0,0,Loyal High-Rollers
0,0,1,34,1,1,26,0,0,False,False,False,884,2,0,2,2,Stable Budgeteers
0,0,0,3,1,1,99,1,1,True,False,True,297,2,0,0,1,At-Risk Newbies
0,0,0,4,1,1,83,0,0,True,True,False,332,2,0,1,1,At-Risk Newbies
0,0,0,54,1,1,20,0,0,False,False,True,1080,2,0,0,2,Stable Budgeteers
1,0,1,6,1,1,20,0,0,True,False,True,120,2,0,0,1,At-Risk Newbies
1,0,0,22,1,0,60,0,0,False,True,False,1320,1,0,1,1,At-Risk Newbies
1,0,0,23,1,0,97,0,0,False,False,False,2231,1,0,2,0,Loyal High-Rollers
0,0,0,68,1,0,58,0,0,False,True,False,3944,1,0,1,0,Loyal High-Rollers
0,0,1,48,1,0,20,0,0,False,False,False,960,1,0,2,2,Stable Budgeteers
1,0,1,34,1,0,21,0,0,False,False,False,714,1,0,2,2,Stable Budgeteers
0,0,0,41,1,1,80,0,0,True,False,False,3280,2,0,2,0,Loyal High-Rollers
1,0,0,9,1,1,76,0,0,True,True,False,684,2,0,1,1,At-Risk Newbies
0,1,0,18,1,0,104,0,0,False,False,True,1872,1,0,0,1,At-Risk Newbies
1,0,0,35,1,0,96,0,0,False,False,False,3360,1,0,2,0,Loyal High-Rollers
1,0,1,55,1,0,79,0,0,True,False,False,4345,1,0,2,0,Loyal High-Rollers
1,0,0,54,1,1,108,0,0,True,False,False,5832,2,0,2,0,Loyal High-Rollers
0,1,0,2,1,0,79,1,1,False,True,False,158,1,0,1,1,At-Risk Newbies
1,0,0,52,1,0,106,0,0,False,False,True,5512,1,0,0,0,Loyal High-Rollers
1,0,0,72,1,1,70,0,0,False,False,True,5040,2,0,0,0,Loyal High-Rollers
1,0,0,9,1,0,70,0,0,False,False,False,630,1,0,2,1,At-Risk Newbies
0,0,1,3,1,1,70,0,0,True,False,False,210,2,0,2,1,At-Risk Newbies
1,1,0,4,1,0,75,0,0,True,False,False,300,1,1,2,1,At-Risk Newbies
1,0,1,69,1,1,76,0,0,False,False,True,5244,2,0,0,0,Loyal High-Rollers
0,0,1,67,0,0,36,0,0,False,True,False,2412,0,0,1,2,Stable Budgeteers
1,0,0,4,1,0,80,1,1,False,False,True,320,1,0,0,1,At-Risk Newbies
1,0,0,13,0,0,46,1,1,True,False,False,598,0,0,2,1,At-Risk Newbies
0,0,1,45,1,1,81,0,0,False,False,True,3645,2,0,0,0,Loyal High-Rollers
1,0,0,68,1,0,101,0,0,False,False,False,6868,1,0,2,0,Loyal High-Rollers
0,0,1,69,1,0,74,0,0,False,False,False,5106,1,0,2,0,Loyal High-Rollers
0,0,0,70,0,0,58,0,0,True,True,False,4060,0,0,1,0,Loyal High-Rollers
0,0,0,1,1,1,20,1,1,True,False,False,20,2,0,2,1,At-Risk Newbies
0,0,1,45,1,0,26,0,0,False,False,True,1170,1,0,0,2,Stable Budgeteers
0,0,1,37,1,0,20,0,0,True,True,False,740,1,0,1,2,Stable Budgeteers
0,0,1,10,0,0,40,0,0,False,True,False,400,0,0,1,1,At-Risk Newbies
0,0,1,1,1,1,89,0,0,False,False,False,89,2,0,2,1,At-Risk Newbies
1,0,1,29,1,1,69,0,0,True,False,False,2001,2,0,2,1,At-Risk Newbies
1,1,1,72,1,0,104,0,0,True,False,False,7488,1,1,2,0,Loyal High-Rollers
0,0,0,2,1,1,76,1,1,True,False,False,152,2,0,2,1,At-Risk Newbies
1,0,0,24,1,0,54,0,0,False,True,False,1296,1,0,1,1,At-Risk Newbies
0,0,0,4,1,0,79,1,1,False,False,False,316,1,0,2,1,At-Risk Newbies
1,0,0,72,1,0,19,0,0,False,False,False,1368,1,0,2,2,Stable Budgeteers
0,0,0,11,1,1,79,0,0,True,False,False,869,2,0,2,1,At-Risk Newbies
0,0,1,44,1,0,20,0,0,False,True,False,880,1,0,1,2,Stable Budgeteers
1,0,1,62,1,0,20,0,0,True,False,False,1240,1,0,2,2,Stable Budgeteers
1,0,1,70,1,0,25,0,0,False,False,False,1750,1,0,2,2,Stable Budgeteers
0,1,0,1,0,0,25,1,1,False,False,False,25,0,0,2,1,At-Risk Newbies
0,0,0,4,1,0,106,1,1,False,False,False,424,1,0,2,1,At-Risk Newbies
0,1,0,2,1,0,86,1,1,False,True,False,172,1,0,1,1,At-Risk Newbies
0,0,0,41,1,1,56,0,0,False,False,False,2296,2,0,2,2,Stable Budgeteers
0,1,0,1,1,1,19,1,1,False,True,False,19,2,0,1,1,At-Risk Newbies
1,1,0,72,1,0,84,0,0,True,False,False,6048,1,1,2,0,Loyal High-Rollers
0,0,0,63,1,0,109,0,0,False,False,True,6867,1,0,0,0,Loyal High-Rollers
1,0,0,68,1,1,80,0,0,True,False,True,5440,2,0,0,0,Loyal High-Rollers
0,1,0,59,1,0,100,0,0,False,False,True,5900,1,0,0,0,Loyal High-Rollers
1,1,0,52,0,0,49,0,0,True,False,False,2548,0,1,2,2,Stable Budgeteers
1,1,1,26,1,1,106,1,1,False,False,True,2756,2,0,0,0,Loyal High-Rollers
1,0,0,66,0,1,57,0,0,True,False,False,3762,1,0,2,0,Loyal High-Rollers
0,1,0,56,1,1,96,0,0,True,False,True,5376,2,1,0,0,Loyal High-Rollers
0,0,0,72,1,0,79,0,0,False,False,False,5688,1,0,2,0,Loyal High-Rollers
1,1,0,2,1,0,70,0,0,True,True,False,140,1,1,1,1,At-Risk Newbies
1,0,0,68,1,0,117,0,0,True,False,False,7956,1,0,2,0,Loyal High-Rollers
1,0,1,61,1,1,85,0,0,True,False,True,5185,2,0,0,0,Loyal High-Rollers
1,0,0,1,1,0,20,0,0,True,False,False,20,1,0,2,1,At-Risk Newbies
1,0,0,2,1,0,20,0,0,True,False,False,40,1,0,2,1,At-Risk Newbies
0,0,0,2,1,0,20,1,1,True,True,False,40,1,0,1,1,At-Risk Newbies
1,1,1,68,1,0,85,0,0,False,False,True,5780,1,0,0,0,Loyal High-Rollers
1,0,0,9,1,0,68,0,0,True,False,False,612,1,0,2,1,At-Risk Newbies
1,0,0,13,1,0,83,1,1,True,False,False,1079,1,0,2,1,At-Risk Newbies
0,0,0,22,1,0,20,0,0,True,True,False,440,1,0,1,2,Stable Budgeteers
1,0,1,66,1,0,25,0,0,False,False,False,1650,1,0,2,2,Stable Budgeteers
1,0,1,8,1,0,20,0,0,False,False,False,160,1,0,2,1,At-Risk Newbies
1,0,1,2,1,0,70,0,0,False,False,True,140,1,0,0,1,At-Risk Newbies
1,0,0,3,1,0,56,0,0,False,True,False,168,1,0,1,1,At-Risk Newbies
1,0,0,5,1,1,92,1,1,True,False,False,460,2,0,2,1,At-Risk Newbies
1,0,0,13,1,0,20,0,0,False,False,False,260,1,0,2,2,Stable Budgeteers
1,0,1,53,1,0,65,0,0,False,False,True,3445,1,0,0,0,Loyal High-Rollers
1,0,0,3,1,0,20,0,0,False,False,True,60,1,0,0,1,At-Risk Newbies
1,0,0,46,1,1,95,0,0,False,False,True,4370,2,0,0,0,Loyal High-Rollers
0,0,0,39,0,0,40,0,0,True,False,False,1560,0,0,2,2,Stable Budgeteers
0,0,1,30,1,0,108,0,0,True,False,False,3240,1,0,2,0,Loyal High-Rollers
0,0,0,23,1,1,99,0,0,False,False,True,2277,2,0,0,0,Loyal High-Rollers
1,0,1,40,1,0,20,0,0,False,True,False,800,1,0,1,2,Stable Budgeteers
0,0,0,45,1,0,63,0,0,False,False,False,2835,1,0,2,0,Loyal High-Rollers
1,0,0,53,1,0,20,0,0,False,True,False,1060,1,0,1,2,Stable Budgeteers
0,1,0,72,1,0,112,0,0,False,True,False,8064,1,0,1,0,Loyal High-Rollers
1,0,1,28,1,0,20,0,0,False,True,False,560,1,0,1,2,Stable Budgeteers
0,0,0,49,1,0,67,0,0,False,False,False,3283,1,0,2,0,Loyal High-Rollers
1,0,0,1,1,1,75,1,1,True,False,False,75,2,0,2,1,At-Risk Newbies
0,0,0,20,1,1,81,0,0,False,False,True,1620,2,0,0,1,At-Risk Newbies
0,0,1,53,1,1,61,0,0,True,False,True,3233,2,0,0,0,Loyal High-Rollers
1,0,0,67,1,0,69,0,0,True,False,False,4623,1,0,2,0,Loyal High-Rollers
1,0,0,11,1,0,74,1,1,True,False,False,814,1,0,2,1,At-Risk Newbies
0,0,1,52,1,0,86,0,0,False,False,True,4472,1,0,0,0,Loyal High-Rollers
0,0,0,1,1,1,91,1,1,False,False,False,91,2,0,2,1,At-Risk Newbies
0,0,0,48,1,1,56,0,0,False,False,False,2688,2,0,2,2,Stable Budgeteers
0,0,0,7,1,0,75,1,1,False,False,True,525,1,0,0,1,At-Risk Newbies
1,0,1,7,1,1,71,0,0,True,False,False,497,2,0,2,1,At-Risk Newbies
0,0,1,12,1,0,84,0,0,True,False,False,1008,1,0,2,1,At-Risk Newbies
1,0,0,40,1,0,25,0,0,False,False,True,1000,1,0,0,2,Stable Budgeteers
1,0,0,55,1,1,78,0,0,False,False,True,4290,2,0,0,0,Loyal High-Rollers
0,0,0,20,1,1,20,0,0,True,False,True,400,2,0,0,2,Stable Budgeteers
1,0,0,1,0,0,36,1,1,False,True,False,36,0,0,1,1,At-Risk Newbies
0,0,1,72,1,0,84,0,0,True,False,False,6048,1,0,2,0,Loyal High-Rollers
1,0,0,63,1,0,110,0,0,False,False,False,6930,1,0,2,0,Loyal High-Rollers
0,0,0,70,0,0,65,0,0,True,False,False,4550,0,0,2,0,Loyal High-Rollers
0,0,0,8,1,1,64,0,0,False,True,False,512,2,0,1,1,At-Risk Newbies
0,0,0,1,1,0,46,1,1,True,False,False,46,1,0,2,1,At-Risk Newbies
1,0,0,16,1,0,20,0,0,False,False,False,320,1,0,2,2,Stable Budgeteers
0,0,1,11,0,1,25,0,0,True,True,False,275,1,0,1,1,At-Risk Newbies
1,0,0,11,1,0,75,1,1,True,True,False,825,1,0,1,1,At-Risk Newbies
0,0,1,41,1,0,88,0,0,True,False,False,3608,1,0,2,0,Loyal High-Rollers
1,0,1,14,1,0,76,0,0,False,False,False,1064,1,0,2,1,At-Risk Newbies
0,0,0,61,1,1,89,0,0,False,True,False,5429,2,0,1,0,Loyal High-Rollers
0,0,0,20,1,0,89,0,0,False,False,False,1780,1,0,2,1,At-Risk Newbies
0,0,0,47,1,0,106,1,1,False,False,True,4982,1,0,0,0,Loyal High-Rollers
1,0,1,2,1,1,60,0,0,True,False,True,120,2,0,0,1,At-Risk Newbies
1,0,1,41,1,1,60,0,0,True,True,False,2460,2,0,1,2,Stable Budgeteers
0,0,0,72,1,0,25,0,0,False,False,False,1800,1,0,2,2,Stable Budgeteers
0,0,1,72,1,0,80,0,0,False,False,False,5760,1,0,2,0,Loyal High-Rollers
0,0,0,46,1,0,96,0,0,False,False,False,4416,1,0,2,0,Loyal High-Rollers
1,0,0,1,1,1,20,1,1,True,False,False,20,2,0,2,1,At-Risk Newbies
1,0,1,29,0,1,45,0,0,True,False,False,1305,1,0,2,2,Stable Budgeteers
0,0,0,37,1,0,100,0,0,False,False,True,3700,1,0,0,0,Loyal High-Rollers
1,0,0,19,1,1,62,0,0,True,True,False,1178,2,0,1,1,At-Risk Newbies
0,0,1,49,1,1,78,0,0,False,False,True,3822,2,0,0,0,Loyal High-Rollers
1,0,1,13,1,1,44,0,0,False,False,True,572,2,0,0,1,At-Risk Newbies
0,0,0,22,1,0,50,0,0,True,False,False,1100,1,0,2,1,At-Risk Newbies
0,1,0,53,1,0,97,0,0,False,False,True,5141,1,0,0,0,Loyal High-Rollers
1,0,0,24,1,1,50,1,1,False,False,True,1200,2,0,0,1,At-Risk Newbies
0,0,0,37,1,0,20,0,0,True,False,False,740,1,0,2,2,Stable Budgeteers
1,0,1,6,1,0,55,1,1,False,False,True,330,1,0,0,1,At-Risk Newbies
0,0,0,7,1,0,80,1,1,False,False,False,560,1,0,2,1,At-Risk Newbies
0,0,1,12,1,1,20,1,1,True,False,False,240,2,0,2,2,Stable Budgeteers
0,0,0,71,1,0,25,0,0,True,False,False,1775,1,0,2,2,Stable Budgeteers
1,0,1,26,1,1,82,0,0,True,False,False,2132,2,0,2,1,At-Risk Newbies
0,0,0,6,1,1,46,0,0,True,False,False,276,2,0,2,1,At-Risk Newbies
1,0,0,32,1,0,88,0,0,False,False,False,2816,1,0,2,0,Loyal High-Rollers
0,0,0,47,1,0,59,0,0,False,False,False,2773,1,0,2,2,Stable Budgeteers
0,0,1,31,1,0,21,0,0,False,False,False,651,1,0,2,2,Stable Budgeteers
0,0,1,52,1,0,84,0,0,False,False,False,4368,1,0,2,0,Loyal High-Rollers
0,0,0,60,0,0,61,0,0,False,False,False,3660,0,0,2,0,Loyal High-Rollers
0,0,0,48,1,1,66,0,0,False,False,False,3168,2,0,2,0,Loyal High-Rollers
1,0,0,45,1,1,19,0,0,False,False,False,855,2,0,2,2,Stable Budgeteers
0,0,0,39,1,0,80,1,1,True,False,False,3120,1,0,2,0,Loyal High-Rollers
0,1,0,1,1,1,86,1,1,True,True,False,86,2,1,1,1,At-Risk Newbies
1,0,0,1,1,0,70,1,1,False,False,False,70,1,0,2,1,At-Risk Newbies
0,0,0,6,1,0,79,1,1,True,False,False,474,1,0,2,1,At-Risk Newbies
1,0,0,9,1,0,76,0,0,True,False,False,684,1,0,2,1,At-Risk Newbies
1,0,1,72,1,0,114,0,0,False,False,False,8208,1,0,2,0,Loyal High-Rollers
1,1,0,71,0,1,52,0,0,True,False,False,3692,1,1,2,2,Stable Budgeteers
1,0,1,71,1,0,20,0,0,False,True,False,1420,1,0,1,2,Stable Budgeteers
0,0,0,64,1,0,95,0,0,True,True,False,6080,1,0,1,0,Loyal High-Rollers
0,0,1,28,1,0,20,0,0,True,False,False,560,1,0,2,2,Stable Budgeteers
0,0,1,70,1,0,115,0,0,False,False,False,8050,1,0,2,0,Loyal High-Rollers
1,1,0,39,1,0,96,1,1,False,False,False,3744,1,0,2,0,Loyal High-Rollers
0,0,1,16,1,0,20,0,0,True,False,True,320,1,0,0,2,Stable Budgeteers
1,1,0,66,1,1,111,1,1,True,False,False,7326,2,1,2,0,Loyal High-Rollers
0,1,0,21,1,1,95,0,0,False,False,False,1995,2,0,2,1,At-Risk Newbies
0,0,0,44,1,0,85,1,1,True,False,False,3740,1,0,2,0,Loyal High-Rollers
0,1,0,54,1,0,99,0,0,False,True,False,5346,1,0,1,0,Loyal High-Rollers
1,0,0,4,1,1,57,0,0,True,False,False,228,2,0,2,1,At-Risk Newbies
0,1,0,60,1,0,110,0,0,True,False,False,6600,1,1,2,0,Loyal High-Rollers
1,0,0,26,1,0,92,0,0,False,False,True,2392,1,0,0,0,Loyal High-Rollers
0,0,1,24,1,1,79,0,0,True,False,False,1896,2,0,2,1,At-Risk Newbies
